ID_cliente,Contrato,Facturacion_electronica,Metodo_pago,Cargos_mensuales,Cargos_totales,Abandono
4080-IIARD,Mes a mes,Sí,Cheque electrónico,76.2,981.45,No
3714-NTNFO,Mes a mes,Sí,Cheque electrónico,84.5,3906.7,No
5948-UJZLF,Mes a mes,No,Cheque por correo,49.25,97.0,No
7760-OYPDY,Mes a mes,Sí,Cheque electrónico,80.65,144.15,Sí
7639-LIAYI,Dos años,Sí,Tarjeta de crédito (automática),79.75,4217.8,No
2954-PIBKO,Dos años,Sí,Tarjeta de crédito (automática),64.15,4254.1,No
8012-SOUDQ,Mes a mes,Sí,Cheque electrónico,90.25,3838.75,No
9420-LOJKX,Mes a mes,Sí,Tarjeta de crédito (automática),99.1,1426.4,Sí
6575-SUVOI,Mes a mes,Sí,Tarjeta de crédito (automática),69.5,1752.65,No
7495-OOKFY,Mes a mes,Sí,Tarjeta de crédito (automática),80.65,633.3,Sí
4667-QONEA,Un año,Sí,Tarjeta de crédito (automática),74.85,4456.35,No
1658-BYGOY,Mes a mes,Sí,Cheque electrónico,95.45,1752.55,Sí
8769-KKTPH,Un año,Sí,Tarjeta de crédito (automática),99.65,6311.2,No
5067-XJQFU,Un año,Sí,Cheque electrónico,108.45,7076.35,No
3957-SQXML,Dos años,No,Tarjeta de crédito (automática),24.95,894.3,No
5954-BDFSG,Dos años,Sí,Tarjeta de crédito (automática),107.5,7853.7,No
0434-CSFON,Mes a mes,Sí,Cheque electrónico,100.5,4707.1,No
1215-FIGMP,Mes a mes,Sí,Transferencia bancaria (automática),89.9,5450.7,No
0526-SXDJP,Dos años,No,Transferencia bancaria (automática),42.1,2962.0,No
0557-ASKVU,Un año,Sí,Tarjeta de crédito (automática),54.4,957.1,No
5698-BQJOH,Mes a mes,No,Cheque electrónico,94.4,857.25,Sí
5122-CYFXA,Mes a mes,Sí,Cheque electrónico,75.3,244.1,No
8627-ZYGSZ,Un año,Sí,Cheque electrónico,78.9,3650.35,No
3410-YOQBQ,Dos años,No,Cheque por correo,79.2,2497.2,No
3170-NMYVV,Dos años,No,Transferencia bancaria (automática),20.15,930.9,No
7410-OIEDU,Mes a mes,Sí,Cheque por correo,79.85,887.35,No
2273-QCKXA,Mes a mes,No,Cheque por correo,49.05,49.05,No
0731-EBJQB,Un año,Sí,Cheque electrónico,20.4,1090.65,No
1891-QRQSA,Dos años,Sí,Transferencia bancaria (automática),111.6,7099.0,No
8028-PNXHQ,Dos años,Sí,Transferencia bancaria (automática),24.25,1424.6,No
5630-AHZIL,Mes a mes,Sí,Transferencia bancaria (automática),64.5,177.4,No
2673-CXQEU,Un año,No,Cheque electrónico,110.5,6139.5,No
6416-JNVRK,Un año,No,Tarjeta de crédito (automática),55.65,2688.85,No
5590-ZSKRV,Mes a mes,No,Cheque por correo,54.65,482.25,No
0191-ZHSKZ,Mes a mes,Sí,Cheque electrónico,74.75,2111.3,No
3887-PBQAO,Un año,Sí,Tarjeta de crédito (automática),25.9,1216.6,No
5919-TMRGD,Mes a mes,Sí,Cheque electrónico,79.35,79.35,Sí
8108-UXRQN,Mes a mes,No,Cheque electrónico,50.55,565.35,No
9191-MYQKX,Mes a mes,Sí,Transferencia bancaria (automática),75.15,496.9,Sí
9919-YLNNG,Mes a mes,Sí,Transferencia bancaria (automática),103.8,4327.5,No
0318-ZOPWS,Dos años,Sí,Transferencia bancaria (automática),20.15,973.35,No
4445-ZJNMU,Mes a mes,Sí,Tarjeta de crédito (automática),99.3,918.75,No
4808-YNLEU,Un año,Sí,Transferencia bancaria (automática),62.15,2215.45,No
1862-QRWPE,Dos años,No,Transferencia bancaria (automática),20.65,1057.0,No
2796-NNUFI,Dos años,Sí,Cheque por correo,19.95,927.1,No
3016-KSVCP,Mes a mes,No,Cheque por correo,33.75,1009.25,No
4767-HZZHQ,Mes a mes,No,Transferencia bancaria (automática),82.05,2570.2,No
2424-WVHPL,Mes a mes,No,Cheque electrónico,74.7,74.7,No
7233-PAHHL,Dos años,Sí,Cheque por correo,84.0,5714.25,No
6067-NGCEU,Mes a mes,Sí,Tarjeta de crédito (automática),111.05,7107.0,No
9848-JQJTX,Dos años,Sí,Transferencia bancaria (automática),100.9,7459.05,No
8637-XJIVR,Mes a mes,Sí,Cheque electrónico,78.95,927.35,Sí
9803-FTJCG,Un año,Sí,Tarjeta de crédito (automática),66.85,4748.7,No
0278-YXOOG,Mes a mes,No,Cheque por correo,21.05,113.85,Sí
3212-KXOCR,Dos años,No,Transferencia bancaria (automática),21.0,1107.2,No
4598-XLKNJ,Mes a mes,Sí,Cheque electrónico,98.5,2514.5,Sí
6380-ARCEH,Mes a mes,No,Cheque por correo,20.2,20.2,No
3679-XASPY,Mes a mes,No,Cheque electrónico,19.45,19.45,No
7123-WQUHX,Un año,No,Transferencia bancaria (automática),95.0,3605.6,No
5386-THSLQ,Un año,No,Transferencia bancaria (automática),45.55,3027.25,No
3192-NQECA,Dos años,Sí,Transferencia bancaria (automática),110.0,7611.85,Sí
6180-YBIQI,Mes a mes,No,Cheque por correo,24.3,100.2,No
6728-DKUCO,Un año,Sí,Cheque electrónico,104.15,7303.05,No
9750-BOOHV,Un año,No,Cheque por correo,30.15,927.65,No
8597-CWYHH,Un año,No,Cheque por correo,94.35,3921.3,No
2848-YXSMW,Dos años,No,Tarjeta de crédito (automática),19.4,1363.25,No
0486-HECZI,Mes a mes,Sí,Cheque electrónico,96.75,5238.9,Sí
4549-ZDQYY,Un año,No,Tarjeta de crédito (automática),57.95,3042.25,No
5712-AHQNN,Mes a mes,Sí,Cheque electrónico,91.65,3954.1,No
4846-WHAFZ,Mes a mes,Sí,Cheque electrónico,76.5,2868.15,Sí
5256-SKJGO,Dos años,Sí,Cheque electrónico,54.6,3423.5,No
3071-VBYPO,Mes a mes,No,Cheque electrónico,89.85,248.4,No
9560-BBZXK,Dos años,No,Transferencia bancaria (automática),31.05,1126.35,No
5299-RULOA,Mes a mes,Sí,Cheque electrónico,100.25,1064.65,Sí
8402-OOOHJ,Dos años,No,Cheque por correo,20.65,835.15,No
9445-ZUEQE,Mes a mes,Sí,Tarjeta de crédito (automática),85.2,2151.6,No
1091-SOZGA,Un año,Sí,Tarjeta de crédito (automática),99.8,5515.45,No
2928-HLDBA,Mes a mes,No,Cheque por correo,20.7,112.75,No
0404-SWRVG,Mes a mes,Sí,Cheque electrónico,74.4,229.55,Sí
6497-TILVL,Mes a mes,No,Cheque por correo,50.7,350.35,No
7219-TLZHO,Mes a mes,No,Cheque por correo,20.85,62.9,No
4622-YNKIJ,Dos años,Sí,Cheque electrónico,88.95,3027.65,No
4412-YLTKF,Mes a mes,Sí,Cheque electrónico,78.05,2135.5,Sí
6734-PSBAW,Dos años,Sí,Transferencia bancaria (automática),23.55,1723.95,No
3930-ZGWVE,Mes a mes,No,Cheque por correo,19.75,19.75,No
2639-UGMAZ,Un año,Sí,Cheque electrónico,56.45,3985.35,No
2876-GZYZC,Mes a mes,Sí,Cheque electrónico,85.95,1215.65,No
6207-WIOLX,Mes a mes,Sí,Tarjeta de crédito (automática),58.6,1502.65,Sí
8587-XYZSF,Dos años,No,Transferencia bancaria (automática),50.55,3260.1,No
3091-FYHKI,Mes a mes,Sí,Cheque electrónico,35.45,35.45,Sí
2372-HWUHI,Mes a mes,No,Cheque electrónico,44.35,81.25,Sí
8535-SFUTN,Mes a mes,Sí,Cheque electrónico,106.45,6300.15,No
7799-LGRDP,Dos años,Sí,Tarjeta de crédito (automática),25.7,1188.2,No
7850-VWJUU,Mes a mes,Sí,Transferencia bancaria (automática),75.0,1778.5,No
3774-VBNXY,Dos años,No,Cheque por correo,20.2,1277.75,No
6217-KDYWC,Dos años,Sí,Cheque por correo,19.6,1170.55,No
0390-DCFDQ,Mes a mes,Sí,Cheque por correo,70.45,70.45,Sí
3146-MSEGF,Dos años,Sí,Tarjeta de crédito (automática),88.05,6425.65,No
4080-OGPJL,Mes a mes,No,Cheque electrónico,71.15,563.65,Sí
1095-WGNGG,Dos años,Sí,Transferencia bancaria (automática),101.05,5971.25,No
2636-SJDOU,Un año,Sí,Tarjeta de crédito (automática),84.3,5289.05,No
1131-QQZEB,Dos años,No,Transferencia bancaria (automática),23.95,1756.2,No
5716-EZXZN,Dos años,Sí,Tarjeta de crédito (automática),99.05,6416.7,No
6837-BJYDQ,Un año,No,Cheque por correo,19.6,61.35,No
2135-RXIHG,Mes a mes,Sí,Cheque electrónico,45.65,45.65,Sí
6440-DKQGE,Un año,No,Tarjeta de crédito (automática),64.5,1929.95,No
3466-BYAVD,Mes a mes,Sí,Cheque por correo,69.5,1071.4,No
3780-YVMFA,Mes a mes,Sí,Cheque electrónico,68.55,564.35,No
3874-EQOEP,Mes a mes,No,Cheque por correo,95.0,655.5,Sí
1679-JRFBR,Un año,Sí,Tarjeta de crédito (automática),108.15,7930.55,No
9073-ZZIAY,Dos años,No,Cheque electrónico,86.1,5215.25,No
3077-RSNTJ,Mes a mes,No,Cheque por correo,19.7,113.5,No
6551-GNYDG,Mes a mes,Sí,Transferencia bancaria (automática),80.9,1152.8,No
9167-APMXZ,Mes a mes,Sí,Transferencia bancaria (automática),84.15,1821.95,No
2749-CTKAJ,Un año,No,Cheque por correo,20.15,419.9,No
6371-NZYEG,Dos años,No,Cheque por correo,64.25,1024.0,No
7554-NEWDD,Dos años,No,Transferencia bancaria (automática),25.7,251.6,No
8992-VONJD,Mes a mes,Sí,Cheque electrónico,56.0,764.55,No
0867-MKZVY,Mes a mes,No,Cheque electrónico,82.4,1592.35,Sí
4482-EWFMI,Mes a mes,Sí,Cheque electrónico,69.7,135.2,No
4648-YPBTM,Dos años,Sí,Transferencia bancaria (automática),73.9,3958.25,No
2907-ILJBN,Un año,No,Cheque por correo,20.6,233.9,No
6345-FZOQH,Dos años,No,Cheque por correo,19.9,1363.45,No
3376-BMGFE,Mes a mes,Sí,Transferencia bancaria (automática),70.9,273.0,Sí
5997-OPVFA,Dos años,Sí,Transferencia bancaria (automática),89.05,6254.45,No
3445-HXXGF,Mes a mes,Sí,Cheque electrónico,45.3,2651.2,Sí
1159-WFSGR,Mes a mes,No,Cheque electrónico,20.4,321.4,No
7654-YWJUF,Un año,Sí,Transferencia bancaria (automática),84.25,3539.25,No
1875-QIVME,Mes a mes,Sí,Cheque electrónico,104.4,242.8,Sí
6727-IOTLZ,Dos años,No,Cheque por correo,81.95,1181.75,No
0691-JVSYA,Un año,Sí,Transferencia bancaria (automática),94.85,5000.2,Sí
5918-VUKWP,Un año,No,Transferencia bancaria (automática),20.55,654.55,No
1744-JHKYS,Mes a mes,No,Cheque electrónico,24.7,780.2,No
2656-FMOKZ,Mes a mes,Sí,Cheque por correo,74.45,1145.7,Sí
2070-FNEXE,Mes a mes,No,Transferencia bancaria (automática),76.45,503.6,Sí
5947-SGKCL,Mes a mes,Sí,Transferencia bancaria (automática),105.35,1559.25,No
3712-PKXZA,Un año,Sí,Tarjeta de crédito (automática),20.55,1252.0,No
6317-YPKDH,Mes a mes,No,Transferencia bancaria (automática),29.95,29.95,Sí
6582-OIVSP,Mes a mes,No,Cheque por correo,45.3,45.3,No
9367-WXLCH,Mes a mes,No,Transferencia bancaria (automática),84.5,662.65,Sí
5524-KHNJP,Un año,No,Tarjeta de crédito (automática),74.75,2453.3,No
1918-ZBFQJ,Mes a mes,Sí,Cheque electrónico,79.25,1111.65,Sí
1024-GUALD,Mes a mes,Sí,Cheque electrónico,24.8,24.8,Sí
4827-USJHP,Mes a mes,Sí,Cheque por correo,51.8,1023.85,No
8167-GJLRN,Mes a mes,No,Cheque electrónico,30.4,82.15,No
0956-SYCWG,Un año,No,Cheque electrónico,19.65,244.8,No
8393-DLHGA,Mes a mes,Sí,Cheque electrónico,95.9,2448.75,Sí
8017-UVSZU,Mes a mes,No,Tarjeta de crédito (automática),56.6,2379.1,No
7100-FQPRV,Un año,Sí,Tarjeta de crédito (automática),71.9,3173.35,No
2472-OVKUP,Mes a mes,Sí,Cheque electrónico,91.0,531.0,Sí
2984-RGEYA,Dos años,No,Transferencia bancaria (automática),19.75,1375.4,No
9680-NIAUV,Dos años,No,Tarjeta de crédito (automática),109.7,8129.3,No
2146-EGVDT,Dos años,No,Tarjeta de crédito (automática),19.3,1192.7,No
2604-IJPDU,Mes a mes,Sí,Cheque electrónico,96.55,1901.65,No
9178-JHUVJ,Dos años,Sí,Transferencia bancaria (automática),24.1,587.4,No
6168-YBYNP,Mes a mes,Sí,Cheque electrónico,111.35,6519.75,No
7255-SSFBC,Dos años,Sí,Transferencia bancaria (automática),112.25,8041.65,No
3645-DEYGF,Mes a mes,No,Cheque por correo,20.75,20.75,No
9323-HGFWY,Un año,Sí,Tarjeta de crédito (automática),101.9,2681.15,No
8544-GOQSH,Mes a mes,Sí,Tarjeta de crédito (automática),80.05,1112.3,No
3363-DTIVD,Dos años,No,Cheque electrónico,105.55,7405.5,No
7018-WBJNK,Mes a mes,Sí,Tarjeta de crédito (automática),78.3,1033.95,No
9142-KZXOP,Mes a mes,No,Tarjeta de crédito (automática),68.85,2958.95,No
7674-YTAFD,Un año,Sí,Transferencia bancaria (automática),79.95,2684.85,No
6348-SNFUS,Dos años,Sí,Tarjeta de crédito (automática),55.45,4179.2,No
1285-OKIPP,Mes a mes,No,Cheque electrónico,79.9,79.9,Sí
7825-ECJRF,Mes a mes,Sí,Cheque electrónico,106.6,1934.45,Sí
1347-KTTTA,Un año,Sí,Tarjeta de crédito (automática),102.45,6654.1,No
7841-TZDMQ,Mes a mes,Sí,Tarjeta de crédito (automática),46.0,84.5,Sí
4195-NZGTA,Mes a mes,No,Cheque electrónico,25.25,25.25,No
7157-SMCFK,Dos años,No,Cheque por correo,19.75,1124.2,No
4709-LKHYG,Un año,No,Cheque electrónico,20.0,540.05,No
2504-DSHIH,Mes a mes,No,Cheque electrónico,86.8,1975.85,No
0699-NDKJM,Mes a mes,Sí,Transferencia bancaria (automática),58.75,3437.45,No
9286-BHDQG,Dos años,No,Tarjeta de crédito (automática),45.25,3139.8,No
0230-WEQUW,Dos años,Sí,Transferencia bancaria (automática),56.6,3789.2,No
2040-LDIWQ,Dos años,Sí,Transferencia bancaria (automática),84.2,5324.5,No
6496-JDSSB,Mes a mes,Sí,Transferencia bancaria (automática),80.0,624.6,No
9408-SSNVZ,Mes a mes,Sí,Cheque electrónico,70.15,268.35,Sí
4443-EMBNA,Dos años,No,Transferencia bancaria (automática),24.75,1836.9,No
6469-MRVET,Un año,Sí,Cheque electrónico,20.2,20.2,No
0742-MOABM,Mes a mes,No,Cheque por correo,50.05,179.35,Sí
5961-VUSRV,Un año,Sí,Transferencia bancaria (automática),19.35,219.35,No
6778-JFCMK,Un año,Sí,Cheque por correo,50.6,1288.75,No
6341-JVQGF,Un año,Sí,Cheque por correo,81.15,2545.75,No
2232-DMLXU,Mes a mes,No,Cheque por correo,55.2,55.2,Sí
4811-JBUVU,Mes a mes,Sí,Tarjeta de crédito (automática),89.9,2723.15,No
0945-TSONX,Dos años,Sí,Tarjeta de crédito (automática),85.3,4107.25,No
2651-ZCBXV,Dos años,Sí,Tarjeta de crédito (automática),108.0,5760.65,No
3316-UWXUY,Mes a mes,Sí,Tarjeta de crédito (automática),93.5,4747.5,No
8937-RDTHP,Mes a mes,Sí,Cheque por correo,84.6,84.6,Sí
7083-MIOPC,Dos años,No,Tarjeta de crédito (automática),20.25,1566.9,No
1984-GPTEH,Mes a mes,No,Cheque electrónico,25.15,702.0,No
1251-KRREG,Mes a mes,Sí,Cheque por correo,54.4,114.1,Sí
0621-JFHOL,Dos años,Sí,Cheque por correo,29.6,299.05,No
9903-LYSAB,Mes a mes,Sí,Cheque electrónico,73.15,1305.95,No
0094-OIFMO,Mes a mes,Sí,Cheque electrónico,95.0,1120.3,Sí
9227-UAQFT,Dos años,No,Cheque por correo,19.75,284.35,No
7301-ABVAD,Dos años,No,Transferencia bancaria (automática),86.6,6350.5,No
6614-FHDBO,Dos años,No,Transferencia bancaria (automática),109.2,7878.3,No
7576-ASEJU,Un año,Sí,Tarjeta de crédito (automática),74.7,3187.65,No
9058-HRZSV,Mes a mes,No,Cheque electrónico,94.4,6126.15,No
4522-AKYLR,Mes a mes,Sí,Cheque electrónico,54.8,731.3,No
0221-WMXNQ,Mes a mes,No,Cheque electrónico,75.35,273.4,No
0303-UNCIP,Un año,No,Cheque por correo,65.0,2531.8,No
9947-OTFQU,Mes a mes,Sí,Cheque electrónico,74.4,1074.3,Sí
0322-YINQP,Mes a mes,Sí,Cheque por correo,48.55,48.55,Sí
0959-WHOKV,Un año,Sí,Cheque electrónico,99.0,4298.45,No
4075-JFPGR,Un año,Sí,Cheque electrónico,93.5,4619.55,No
4629-NRXKX,Mes a mes,No,Cheque electrónico,70.4,147.15,Sí
9514-JDSKI,Mes a mes,No,Cheque electrónico,40.2,40.2,Sí
3282-ZISZV,Un año,No,Tarjeta de crédito (automática),83.7,2633.3,No
3675-YDUPJ,Mes a mes,Sí,Cheque por correo,19.85,193.05,No
4111-BNXIF,Dos años,Sí,Cheque electrónico,59.55,4103.9,No
7017-VFHAY,Dos años,No,Tarjeta de crédito (automática),115.1,7008.15,No
6655-LHBYW,Un año,No,Tarjeta de crédito (automática),114.35,5791.1,No
4959-JOSRX,Mes a mes,Sí,Tarjeta de crédito (automática),44.6,80.55,Sí
5046-NUHWD,Mes a mes,Sí,Cheque electrónico,45.0,1228.65,No
7273-TEFQD,Mes a mes,Sí,Cheque electrónico,41.15,132.2,Sí
3606-TWKGI,Mes a mes,Sí,Cheque electrónico,106.9,1364.3,Sí
7529-ZDFXI,Mes a mes,Sí,Cheque electrónico,89.85,4925.35,No
7605-BDWDC,Dos años,Sí,Transferencia bancaria (automática),49.85,1520.1,No
1950-KSVVJ,Un año,No,Cheque por correo,113.3,5032.25,No
0123-CRBRT,Dos años,No,Cheque por correo,88.1,5526.75,No
6292-TOSSS,Dos años,No,Transferencia bancaria (automática),24.9,1195.25,No
3197-ARFOY,Mes a mes,Sí,Cheque por correo,105.0,2007.25,No
6323-AYBRX,Dos años,No,Cheque por correo,19.35,1099.6,Sí
7014-ZZXAW,Dos años,Sí,Tarjeta de crédito (automática),24.25,1732.95,No
4385-GZQXV,Mes a mes,Sí,Cheque electrónico,94.45,1511.2,Sí
7633-MVPUY,Dos años,Sí,Cheque electrónico,59.75,3450.15,No
6366-ZGQGL,Mes a mes,No,Transferencia bancaria (automática),24.8,24.8,Sí
4716-HHKQH,Mes a mes,No,Cheque electrónico,107.05,2172.05,No
5940-AHUHD,Mes a mes,No,Cheque por correo,70.6,70.6,Sí
6432-TWQLB,Mes a mes,Sí,Cheque electrónico,85.4,401.1,Sí
4484-GLZOU,Mes a mes,Sí,Cheque electrónico,105.05,5624.85,Sí
8012-SOUDQ,Mes a mes,Sí,Cheque electrónico,90.25,3838.75,No
3179-GBRWV,Mes a mes,Sí,Transferencia bancaria (automática),64.95,1339.8,No
8645-KWHJO,Mes a mes,Sí,Cheque electrónico,55.0,771.95,No
4130-MZLCC,Mes a mes,No,Transferencia bancaria (automática),50.55,244.75,No
0314-TKOSI,Mes a mes,No,Cheque por correo,55.15,322.9,No
8229-MYEJZ,Mes a mes,No,Cheque electrónico,51.2,498.25,No
2080-SRCDE,Mes a mes,No,Cheque por correo,25.4,25.4,No
9577-WJVCQ,Mes a mes,No,Cheque por correo,54.45,3687.75,No
9512-UIBFX,Mes a mes,No,Cheque por correo,95.15,1779.95,Sí
6202-DYYFX,Un año,Sí,Tarjeta de crédito (automática),76.0,1783.6,No
3808-HFKDE,Mes a mes,Sí,Cheque electrónico,44.35,927.15,No
5583-SXDAG,Mes a mes,No,Cheque electrónico,70.0,70.0,Sí
3488-PGMQJ,Mes a mes,Sí,Cheque electrónico,74.5,606.55,Sí
3580-REOAC,Mes a mes,Sí,Tarjeta de crédito (automática),44.85,435.4,Sí
7534-BFESC,Mes a mes,Sí,Cheque electrónico,76.1,1712.7,Sí
3727-OWVYD,Un año,No,Cheque por correo,61.2,2021.2,No
2294-SALNE,Un año,No,Cheque por correo,86.8,1940.8,No
4847-TAJYI,Mes a mes,Sí,Cheque electrónico,89.35,567.8,No
1563-IWQEX,Mes a mes,No,Cheque por correo,19.7,220.35,No
8203-XJZRC,Mes a mes,No,Cheque por correo,20.25,20.25,No
6556-DBKZF,Dos años,No,Cheque electrónico,76.05,5436.45,No
6851-WEFYX,Mes a mes,Sí,Cheque electrónico,100.8,3437.5,No
2985-JUUBZ,Mes a mes,Sí,Cheque electrónico,74.55,3015.75,No
6390-DSAZX,Mes a mes,Sí,Cheque por correo,73.6,73.6,Sí
0895-LMRSF,Un año,Sí,Transferencia bancaria (automática),64.9,1509.8,No
8098-LLAZX,Mes a mes,Sí,Cheque electrónico,95.45,396.1,Sí
8266-VBFQL,Mes a mes,Sí,Cheque electrónico,90.4,356.65,No
8181-YHCMF,Dos años,No,Tarjeta de crédito (automática),60.3,4109.0,No
2240-HSJQD,Mes a mes,Sí,Cheque por correo,81.85,3141.7,No
1248-DYXUB,Dos años,No,Cheque por correo,24.8,1229.1,No
0265-EDXBD,Mes a mes,Sí,Cheque electrónico,74.9,2303.35,Sí
4115-BNPJY,Dos años,No,Cheque por correo,75.55,2054.4,No
3167-SNQPL,Mes a mes,No,Cheque electrónico,101.15,3741.85,No
4091-TVOCN,Un año,Sí,Tarjeta de crédito (automática),78.75,3682.45,No
1098-TDVUQ,Mes a mes,Sí,Transferencia bancaria (automática),19.25,19.25,No
7277-OZCGZ,Mes a mes,Sí,Cheque electrónico,89.05,1886.25,No
1557-EMYVT,Dos años,No,Tarjeta de crédito (automática),115.05,4895.1,No
2799-ARNLO,Mes a mes,Sí,Cheque electrónico,69.35,341.6,No
7563-BIUPC,Mes a mes,Sí,Cheque electrónico,80.6,415.55,Sí
5027-YOCXN,Un año,No,Tarjeta de crédito (automática),110.05,5686.4,No
3973-SKMLN,Dos años,Sí,Tarjeta de crédito (automática),19.9,1355.1,No
2321-OMBXY,Un año,No,Tarjeta de crédito (automática),80.3,3058.65,Sí
2840-XANRC,Mes a mes,Sí,Cheque electrónico,93.15,2231.05,Sí
6745-JEFZB,Mes a mes,Sí,Tarjeta de crédito (automática),91.5,3236.35,No
5020-ZSTTY,Un año,No,Transferencia bancaria (automática),82.45,4350.1,Sí
9880-TDQAC,Dos años,Sí,Cheque electrónico,60.0,4264.0,No
8705-WZCYL,Mes a mes,Sí,Cheque electrónico,44.8,44.8,No
7102-JJVTX,Un año,No,Cheque por correo,48.6,422.3,No
8626-PTQGE,Dos años,Sí,Transferencia bancaria (automática),60.05,4176.7,No
4983-CLMLV,Mes a mes,Sí,Tarjeta de crédito (automática),102.7,5138.1,No
5701-YVSVF,Mes a mes,Sí,Cheque electrónico,82.9,880.05,No
5804-LEPIM,Mes a mes,Sí,Cheque electrónico,70.35,139.05,Sí
5697-GOMBF,Mes a mes,Sí,Cheque electrónico,35.9,973.65,No
2739-CACDQ,Mes a mes,Sí,Tarjeta de crédito (automática),82.65,1470.05,No
9385-EHGDO,Dos años,Sí,Cheque por correo,19.85,739.35,No
9498-FIMXL,Un año,Sí,Cheque por correo,19.2,161.95,No
2379-GYFLQ,Un año,Sí,Tarjeta de crédito (automática),94.9,4422.95,No
0122-OAHPZ,Mes a mes,Sí,Cheque electrónico,73.85,511.25,Sí
2868-SNELZ,Mes a mes,No,Cheque por correo,80.6,155.8,Sí
4322-RCYMT,Un año,Sí,Transferencia bancaria (automática),75.8,5293.95,Sí
6680-NENYN,Dos años,Sí,Cheque electrónico,104.6,4759.85,Sí
2088-IEBAU,Dos años,Sí,Cheque electrónico,88.15,6148.45,No
7982-VCELR,Mes a mes,Sí,Tarjeta de crédito (automática),94.8,3565.65,No
1343-EHPYB,Mes a mes,Sí,Cheque electrónico,103.4,6603.0,Sí
6035-BXTTY,Mes a mes,No,Transferencia bancaria (automática),54.65,1830.1,No
6885-PKOAM,Dos años,No,Tarjeta de crédito (automática),85.75,6223.8,No
7520-HQWJU,Mes a mes,Sí,Transferencia bancaria (automática),67.45,4508.65,No
9639-BUJXT,Un año,No,Cheque por correo,20.5,1328.15,No
