ID_cliente,Servicio_telefonico,Lineas_multiples,Servicio_internet,Seguridad_en_linea,Copia_seguridad,Proteccion_dispositivo,Soporte_tecnico,Streaming_TV,Streaming_peliculas
0731-EBJQB,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
1891-QRQSA,Sí,Sí,Fibra óptica,Sí,No,Sí,Sí,Sí,Sí
8028-PNXHQ,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
5630-AHZIL,Sí,No,DSL,Sí,No,No,Sí,No,Sí
2673-CXQEU,Sí,Sí,Fibra óptica,Sí,Sí,Sí,No,Sí,Sí
6416-JNVRK,Sí,No,DSL,No,No,No,No,No,Sí
5590-ZSKRV,Sí,No,DSL,Sí,Sí,No,No,No,No
0191-ZHSKZ,Sí,No,DSL,Sí,Sí,No,No,Sí,Sí
3887-PBQAO,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
5919-TMRGD,Sí,No,Fibra óptica,No,No,No,No,Sí,No
8108-UXRQN,No,Sin servicio telefónico,DSL,Sí,No,No,No,Sí,Sí
9191-MYQKX,Sí,No,Fibra óptica,No,No,Sí,No,No,No
9919-YLNNG,Sí,No,Fibra óptica,No,Sí,Sí,Sí,Sí,Sí
0318-ZOPWS,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
4445-ZJNMU,Sí,Sí,Fibra óptica,No,Sí,No,No,Sí,Sí
4808-YNLEU,Sí,No,DSL,Sí,No,No,No,Sí,No
1862-QRWPE,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
2796-NNUFI,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
3016-KSVCP,No,Sin servicio telefónico,DSL,No,No,No,No,Sí,No
4767-HZZHQ,Sí,No,Fibra óptica,No,Sí,Sí,No,No,No
2424-WVHPL,Sí,No,Fibra óptica,No,No,No,Sí,No,No
7233-PAHHL,Sí,Sí,DSL,Sí,No,Sí,Sí,Sí,Sí
6067-NGCEU,Sí,Sí,Fibra óptica,Sí,Sí,Sí,No,Sí,Sí
9848-JQJTX,Sí,Sí,Fibra óptica,No,Sí,Sí,No,Sí,Sí
8637-XJIVR,Sí,Sí,Fibra óptica,Sí,No,No,No,No,No
9803-FTJCG,Sí,Sí,DSL,Sí,Sí,No,Sí,No,No
0278-YXOOG,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
3212-KXOCR,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
4598-XLKNJ,Sí,No,Fibra óptica,No,Sí,Sí,No,Sí,Sí
6380-ARCEH,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
3679-XASPY,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
7123-WQUHX,Sí,Sí,Fibra óptica,No,No,Sí,Sí,Sí,No
5386-THSLQ,No,Sin servicio telefónico,DSL,No,Sí,Sí,No,Sí,No
3192-NQECA,Sí,Sí,Fibra óptica,No,Sí,Sí,Sí,Sí,Sí
6180-YBIQI,No,Sin servicio telefónico,DSL,No,No,No,No,No,No
6728-DKUCO,Sí,Sí,Fibra óptica,Sí,Sí,No,No,Sí,Sí
9750-BOOHV,No,Sin servicio telefónico,DSL,Sí,No,No,No,No,No
8597-CWYHH,Sí,Sí,Fibra óptica,No,No,No,No,Sí,Sí
2848-YXSMW,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
0486-HECZI,Sí,Sí,Fibra óptica,Sí,Sí,No,No,Sí,No
4549-ZDQYY,Sí,No,DSL,Sí,No,Sí,Sí,No,No
5712-AHQNN,Sí,No,Fibra óptica,No,Sí,Sí,No,Sí,No
4846-WHAFZ,Sí,Sí,Fibra óptica,No,No,No,No,No,No
5256-SKJGO,No,Sin servicio telefónico,DSL,No,Sí,No,Sí,Sí,Sí
3071-VBYPO,Sí,No,Fibra óptica,Sí,Sí,No,No,Sí,No
9560-BBZXK,No,Sin servicio telefónico,DSL,Sí,No,No,No,No,No
5299-RULOA,Sí,Sí,Fibra óptica,Sí,No,No,No,Sí,Sí
8402-OOOHJ,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
9445-ZUEQE,Sí,Sí,Fibra óptica,No,Sí,No,Sí,No,No
1091-SOZGA,Sí,Sí,Fibra óptica,No,No,Sí,No,Sí,Sí
2928-HLDBA,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
0404-SWRVG,Sí,Sí,Fibra óptica,No,No,No,No,No,No
6497-TILVL,Sí,No,DSL,Sí,No,No,No,No,No
7219-TLZHO,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
4622-YNKIJ,Sí,No,Fibra óptica,Sí,No,No,Sí,Sí,No
4412-YLTKF,Sí,Sí,Fibra óptica,No,No,Sí,No,No,No
6734-PSBAW,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
3930-ZGWVE,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
2639-UGMAZ,No,Sin servicio telefónico,DSL,Sí,Sí,No,No,Sí,Sí
2876-GZYZC,Sí,Sí,Fibra óptica,No,No,No,No,No,Sí
6207-WIOLX,No,Sin servicio telefónico,DSL,Sí,Sí,Sí,No,Sí,Sí
8587-XYZSF,Sí,No,DSL,No,No,No,Sí,No,No
3091-FYHKI,No,Sin servicio telefónico,DSL,No,No,No,No,No,Sí
2372-HWUHI,Sí,No,DSL,No,No,No,No,No,No
8535-SFUTN,Sí,Sí,Fibra óptica,Sí,No,Sí,No,Sí,Sí
7799-LGRDP,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
7850-VWJUU,Sí,No,Fibra óptica,Sí,No,No,No,No,No
3774-VBNXY,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
6217-KDYWC,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
0390-DCFDQ,Sí,No,Fibra óptica,No,No,No,No,No,No
3146-MSEGF,Sí,Sí,DSL,Sí,Sí,Sí,Sí,Sí,Sí
4080-OGPJL,Sí,Sí,DSL,Sí,No,No,Sí,No,Sí
1095-WGNGG,Sí,Sí,Fibra óptica,No,Sí,No,No,Sí,Sí
2636-SJDOU,Sí,Sí,Fibra óptica,Sí,Sí,No,No,No,No
1131-QQZEB,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
5716-EZXZN,Sí,Sí,Fibra óptica,Sí,Sí,No,Sí,Sí,No
6837-BJYDQ,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
2135-RXIHG,Sí,No,DSL,No,No,No,No,No,No
6440-DKQGE,Sí,No,DSL,No,Sí,Sí,No,Sí,No
3466-BYAVD,Sí,No,DSL,No,Sí,Sí,Sí,No,Sí
3780-YVMFA,Sí,No,DSL,No,No,No,Sí,Sí,Sí
3874-EQOEP,Sí,Sí,Fibra óptica,No,No,No,No,Sí,Sí
1679-JRFBR,Sí,Sí,Fibra óptica,Sí,Sí,Sí,No,Sí,Sí
9073-ZZIAY,Sí,No,DSL,Sí,Sí,Sí,Sí,Sí,Sí
3077-RSNTJ,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
6551-GNYDG,Sí,No,Fibra óptica,No,No,No,No,No,Sí
9167-APMXZ,Sí,Sí,Fibra óptica,No,No,No,No,Sí,No
2749-CTKAJ,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
6371-NZYEG,Sí,No,DSL,Sí,No,Sí,No,Sí,No
7554-NEWDD,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
8992-VONJD,Sí,No,DSL,Sí,Sí,No,No,No,No
0867-MKZVY,Sí,Sí,Fibra óptica,Sí,No,No,No,No,No
4482-EWFMI,Sí,No,Fibra óptica,No,No,No,No,No,No
4648-YPBTM,Sí,Sí,DSL,No,Sí,Sí,Sí,No,Sí
2907-ILJBN,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
6345-FZOQH,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
3376-BMGFE,Sí,No,Fibra óptica,No,No,No,No,No,No
5997-OPVFA,Sí,Sí,DSL,Sí,Sí,Sí,Sí,Sí,Sí
3445-HXXGF,No,Sin servicio telefónico,DSL,No,Sí,Sí,No,No,Sí
1159-WFSGR,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
7654-YWJUF,Sí,No,Fibra óptica,Sí,No,Sí,Sí,No,No
1875-QIVME,Sí,Sí,Fibra óptica,No,No,Sí,Sí,Sí,Sí
6727-IOTLZ,Sí,No,DSL,No,Sí,Sí,Sí,Sí,Sí
0691-JVSYA,Sí,No,Fibra óptica,No,No,Sí,No,Sí,Sí
5918-VUKWP,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
1744-JHKYS,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
2656-FMOKZ,Sí,Sí,Fibra óptica,No,No,No,No,No,No
2070-FNEXE,Sí,No,Fibra óptica,Sí,No,No,No,No,No
5947-SGKCL,Sí,Sí,Fibra óptica,No,Sí,Sí,No,Sí,Sí
3712-PKXZA,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
6317-YPKDH,No,Sin servicio telefónico,DSL,No,Sí,No,No,No,No
6582-OIVSP,Sí,No,DSL,No,No,No,No,No,No
9367-WXLCH,Sí,Sí,Fibra óptica,No,No,No,No,No,Sí
5524-KHNJP,Sí,No,DSL,Sí,No,Sí,No,Sí,Sí
1918-ZBFQJ,Sí,No,Fibra óptica,No,Sí,Sí,No,No,No
1024-GUALD,No,Sin servicio telefónico,DSL,No,No,No,No,No,No
4827-USJHP,Sí,No,DSL,No,Sí,No,No,No,No
8167-GJLRN,No,Sin servicio telefónico,DSL,No,No,No,Sí,No,No
0956-SYCWG,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
8393-DLHGA,Sí,No,Fibra óptica,No,Sí,No,No,Sí,Sí
8017-UVSZU,Sí,Sí,DSL,No,Sí,No,No,No,No
7100-FQPRV,Sí,Sí,DSL,Sí,No,No,Sí,No,Sí
2472-OVKUP,Sí,No,Fibra óptica,No,Sí,Sí,No,No,Sí
2984-RGEYA,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
9680-NIAUV,Sí,Sí,Fibra óptica,Sí,Sí,Sí,No,Sí,Sí
2146-EGVDT,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
2604-IJPDU,Sí,No,Fibra óptica,Sí,Sí,No,Sí,Sí,No
9178-JHUVJ,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
6168-YBYNP,Sí,Sí,Fibra óptica,No,Sí,Sí,Sí,Sí,Sí
7255-SSFBC,Sí,Sí,Fibra óptica,No,Sí,Sí,Sí,Sí,Sí
3645-DEYGF,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
9323-HGFWY,Sí,No,Fibra óptica,Sí,No,No,Sí,Sí,Sí
8544-GOQSH,Sí,No,Fibra óptica,No,Sí,No,Sí,No,No
3363-DTIVD,Sí,Sí,Fibra óptica,Sí,No,Sí,No,Sí,Sí
7018-WBJNK,Sí,No,Fibra óptica,No,No,No,No,Sí,No
9142-KZXOP,Sí,No,Fibra óptica,No,No,No,No,No,No
7674-YTAFD,Sí,No,Fibra óptica,No,Sí,No,Sí,No,No
6348-SNFUS,No,Sin servicio telefónico,DSL,Sí,Sí,Sí,Sí,No,Sí
1285-OKIPP,Sí,No,Fibra óptica,No,No,No,No,No,Sí
7825-ECJRF,Sí,No,Fibra óptica,Sí,No,Sí,Sí,Sí,Sí
1347-KTTTA,Sí,No,Fibra óptica,No,Sí,Sí,Sí,Sí,Sí
7841-TZDMQ,Sí,No,DSL,No,No,No,No,No,No
4195-NZGTA,No,Sin servicio telefónico,DSL,No,No,No,No,No,No
7157-SMCFK,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
4709-LKHYG,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
2504-DSHIH,Sí,Sí,Fibra óptica,No,No,No,No,No,Sí
0699-NDKJM,No,Sin servicio telefónico,DSL,Sí,Sí,Sí,No,Sí,Sí
9286-BHDQG,No,Sin servicio telefónico,DSL,Sí,Sí,Sí,Sí,No,No
0230-WEQUW,No,Sin servicio telefónico,DSL,Sí,Sí,Sí,Sí,Sí,No
2040-LDIWQ,Sí,Sí,DSL,No,Sí,Sí,Sí,Sí,Sí
6496-JDSSB,Sí,No,Fibra óptica,No,No,No,No,Sí,No
9408-SSNVZ,Sí,No,Fibra óptica,No,No,No,No,No,No
4443-EMBNA,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
6469-MRVET,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
0742-MOABM,Sí,No,DSL,No,No,No,Sí,No,No
5961-VUSRV,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
6778-JFCMK,No,Sin servicio telefónico,DSL,Sí,No,No,No,Sí,Sí
6341-JVQGF,Sí,No,DSL,Sí,No,Sí,Sí,Sí,Sí
2232-DMLXU,Sí,No,DSL,No,No,No,No,Sí,No
4811-JBUVU,Sí,Sí,Fibra óptica,No,No,No,Sí,No,Sí
0945-TSONX,Sí,Sí,DSL,Sí,Sí,No,Sí,Sí,Sí
2651-ZCBXV,Sí,Sí,Fibra óptica,Sí,Sí,No,Sí,Sí,Sí
3316-UWXUY,Sí,No,Fibra óptica,Sí,Sí,No,Sí,No,Sí
8937-RDTHP,Sí,No,Fibra óptica,Sí,No,No,No,No,Sí
7083-MIOPC,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
1984-GPTEH,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
1251-KRREG,Sí,Sí,DSL,No,Sí,No,No,No,No
0621-JFHOL,No,Sin servicio telefónico,DSL,No,No,No,Sí,No,No
9903-LYSAB,Sí,Sí,Fibra óptica,No,No,No,No,No,No
0094-OIFMO,Sí,No,Fibra óptica,No,Sí,No,No,Sí,Sí
9227-UAQFT,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
7301-ABVAD,Sí,Sí,DSL,No,Sí,Sí,Sí,Sí,Sí
6614-FHDBO,Sí,Sí,Fibra óptica,No,Sí,Sí,Sí,Sí,Sí
7576-ASEJU,Sí,No,DSL,Sí,No,No,Sí,Sí,Sí
9058-HRZSV,Sí,No,Fibra óptica,Sí,Sí,Sí,No,No,Sí
4522-AKYLR,Sí,No,DSL,No,Sí,Sí,No,No,No
0221-WMXNQ,Sí,No,Fibra óptica,Sí,No,No,No,No,No
0303-UNCIP,Sí,Sí,DSL,No,No,Sí,No,No,Sí
9947-OTFQU,Sí,No,Fibra óptica,No,Sí,No,No,No,No
0322-YINQP,Sí,No,DSL,Sí,No,No,No,No,No
0959-WHOKV,Sí,Sí,Fibra óptica,Sí,Sí,Sí,No,No,Sí
4075-JFPGR,Sí,No,Fibra óptica,Sí,Sí,Sí,No,Sí,No
4629-NRXKX,Sí,No,Fibra óptica,No,No,No,No,No,No
9514-JDSKI,No,Sin servicio telefónico,DSL,No,Sí,No,No,Sí,No
3282-ZISZV,Sí,Sí,DSL,No,Sí,Sí,Sí,Sí,Sí
3675-YDUPJ,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
4111-BNXIF,No,Sin servicio telefónico,DSL,No,Sí,Sí,Sí,Sí,Sí
7017-VFHAY,Sí,Sí,Fibra óptica,Sí,Sí,Sí,Sí,Sí,Sí
6655-LHBYW,Sí,Sí,Fibra óptica,Sí,Sí,Sí,Sí,Sí,Sí
4959-JOSRX,Sí,No,DSL,No,No,No,No,No,No
5046-NUHWD,No,Sin servicio telefónico,DSL,Sí,No,Sí,No,No,Sí
7273-TEFQD,No,Sin servicio telefónico,DSL,No,No,Sí,No,No,Sí
3606-TWKGI,Sí,Sí,Fibra óptica,No,Sí,Sí,No,Sí,Sí
7529-ZDFXI,Sí,Sí,Fibra óptica,No,Sí,No,No,No,Sí
7605-BDWDC,No,Sin servicio telefónico,DSL,Sí,Sí,No,Sí,No,Sí
1950-KSVVJ,Sí,Sí,Fibra óptica,Sí,Sí,Sí,Sí,Sí,Sí
0123-CRBRT,Sí,Sí,DSL,Sí,Sí,Sí,Sí,Sí,Sí
6292-TOSSS,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
3197-ARFOY,Sí,No,Fibra óptica,Sí,Sí,No,Sí,Sí,Sí
6323-AYBRX,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
7014-ZZXAW,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
4385-GZQXV,Sí,No,Fibra óptica,No,No,No,Sí,Sí,Sí
7633-MVPUY,Sí,No,DSL,Sí,Sí,No,Sí,No,No
6366-ZGQGL,No,Sin servicio telefónico,DSL,No,No,No,No,No,No
4716-HHKQH,Sí,Sí,Fibra óptica,No,Sí,No,Sí,Sí,Sí
5940-AHUHD,Sí,No,Fibra óptica,No,No,No,No,No,No
6432-TWQLB,Sí,Sí,Fibra óptica,No,Sí,No,Sí,No,No
4484-GLZOU,Sí,Sí,Fibra óptica,No,Sí,Sí,No,Sí,Sí
8012-SOUDQ,Sí,Sí,Fibra óptica,No,Sí,No,No,Sí,No
3179-GBRWV,Sí,No,DSL,Sí,Sí,No,No,No,Sí
8645-KWHJO,No,Sin servicio telefónico,DSL,No,No,Sí,Sí,Sí,Sí
4130-MZLCC,Sí,No,DSL,No,Sí,No,No,No,No
0314-TKOSI,Sí,No,DSL,Sí,Sí,No,No,No,No
8229-MYEJZ,Sí,No,DSL,No,Sí,No,No,No,No
2080-SRCDE,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
9577-WJVCQ,Sí,Sí,DSL,Sí,No,No,No,No,No
9512-UIBFX,Sí,No,Fibra óptica,No,No,Sí,No,Sí,Sí
6202-DYYFX,Sí,Sí,Fibra óptica,No,No,No,No,No,No
3808-HFKDE,Sí,No,DSL,No,No,No,No,No,No
