ID_cliente,Genero,Edad,Pareja,Dependientes,Año,Mes,Dia,Antiguedad(meses)
8402-OOOHJ,Mujer,48,No,No,2024,6,27,41
9445-ZUEQE,Hombre,49,Sí,Sí,2024,1,1,27
1091-SOZGA,Mujer,58,Sí,Sí,2024,2,23,56
2928-HLDBA,Mujer,31,No,No,2023,10,8,6
0404-SWRVG,Hombre,41,No,No,2023,10,26,3
6497-TILVL,Mujer,63,Sí,Sí,2024,2,24,7
7219-TLZHO,Mujer,71,Sí,Sí,2023,6,29,4
4622-YNKIJ,Hombre,37,No,No,2023,7,23,33
4412-YLTKF,Mujer,70,No,No,2024,5,29,27
6734-PSBAW,Hombre,69,Sí,No,2024,1,23,72
3930-ZGWVE,Hombre,41,No,No,2024,1,20,1
2639-UGMAZ,Hombre,29,No,No,2023,2,14,71
2876-GZYZC,Mujer,75,No,No,2023,6,24,13
6207-WIOLX,Mujer,74,Sí,Sí,2024,7,28,25
8587-XYZSF,Hombre,50,No,No,2023,7,6,67
3091-FYHKI,Hombre,71,No,No,2023,7,4,1
2372-HWUHI,Hombre,48,No,No,2024,1,8,2
8535-SFUTN,Hombre,32,No,No,2024,7,5,61
7799-LGRDP,Mujer,39,No,No,2024,3,21,43
7850-VWJUU,Mujer,72,No,No,2023,7,15,23
3774-VBNXY,Mujer,74,Sí,Sí,2023,11,24,64
6217-KDYWC,Hombre,65,No,Sí,2023,6,20,57
0390-DCFDQ,Mujer,44,Sí,No,2023,7,20,1
3146-MSEGF,Mujer,63,Sí,Sí,2023,11,10,72
4080-OGPJL,Mujer,53,No,No,2023,8,22,8
1095-WGNGG,Mujer,20,Sí,No,2023,9,30,61
2636-SJDOU,Hombre,37,No,No,2023,7,2,64
1131-QQZEB,Hombre,49,Sí,No,2024,6,10,71
5716-EZXZN,Mujer,30,Sí,Sí,2023,8,12,65
6837-BJYDQ,Hombre,66,No,No,2024,6,22,3
2135-RXIHG,Hombre,64,No,No,2023,2,20,1
6440-DKQGE,Hombre,36,No,Sí,2024,5,23,30
3466-BYAVD,Hombre,50,Sí,Sí,2023,3,6,15
3780-YVMFA,Mujer,28,Sí,Sí,2023,1,27,8
3874-EQOEP,Hombre,54,No,No,2024,3,21,7
1679-JRFBR,Mujer,50,Sí,Sí,2024,8,24,70
9073-ZZIAY,Hombre,26,Sí,Sí,2023,5,9,62
3077-RSNTJ,Mujer,72,Sí,,2023,7,15,6
6551-GNYDG,Mujer,40,Sí,Sí,2023,9,6,14
9167-APMXZ,Mujer,33,No,No,2024,7,8,22
2749-CTKAJ,Hombre,25,Sí,Sí,2023,12,6,22
6371-NZYEG,Hombre,61,Sí,Sí,2024,8,9,16
7554-NEWDD,Hombre,67,No,No,2023,12,2,10
8992-VONJD,Mujer,44,No,Sí,2023,6,25,13
0867-MKZVY,Mujer,51,Sí,No,2023,3,20,20
4482-EWFMI,Mujer,29,No,No,2023,3,7,2
4648-YPBTM,Hombre,61,No,No,2023,8,17,53
2907-ILJBN,Mujer,58,,Sí,2023,3,4,11
6345-FZOQH,Hombre,66,Sí,No,2023,12,22,69
3376-BMGFE,Mujer,33,No,No,2023,8,22,4
5997-OPVFA,Hombre,65,Sí,No,2023,2,25,72
3445-HXXGF,Hombre,40,Sí,No,2023,3,16,58
1159-WFSGR,Mujer,70,Sí,Sí,2024,5,26,16
7654-YWJUF,Hombre,49,Sí,No,2024,5,6,43
1875-QIVME,Mujer,24,Sí,No,2023,4,24,2
6727-IOTLZ,Hombre,75,Sí,No,2024,8,21,14
0691-JVSYA,Mujer,72,Sí,No,2024,1,30,53
5918-VUKWP,Mujer,36,No,No,2023,5,18,32
1744-JHKYS,Mujer,25,Sí,No,2023,2,22,34
2656-FMOKZ,Mujer,27,No,No,2023,2,9,15
2070-FNEXE,Mujer,61,No,No,2023,10,5,7
5947-SGKCL,Mujer,46,Sí,Sí,2023,8,26,15
3712-PKXZA,Hombre,34,Sí,No,2023,7,29,61
6317-YPKDH,Mujer,50,No,No,2024,7,10,1
6582-OIVSP,Mujer,55,No,No,2023,5,3,1
9367-WXLCH,Hombre,43,No,No,2023,11,4,8
5524-KHNJP,Hombre,30,,Sí,2024,1,3,33
1918-ZBFQJ,Mujer,47,No,,2024,7,30,13
1024-GUALD,Mujer,45,Sí,No,2024,1,20,1
4827-USJHP,Hombre,59,No,,2024,1,10,20
8167-GJLRN,Hombre,25,No,No,2024,5,24,3
0956-SYCWG,Mujer,56,No,No,2023,4,19,13
8393-DLHGA,Hombre,29,No,Sí,2023,3,21,25
8017-UVSZU,Mujer,59,Sí,No,2023,6,14,40
7100-FQPRV,Hombre,75,Sí,Sí,2023,10,6,43
2472-OVKUP,Hombre,49,Sí,No,2024,8,22,6
2984-RGEYA,Mujer,31,Sí,Sí,2024,3,6,69
9680-NIAUV,Mujer,37,Sí,Sí,2023,10,24,72
2146-EGVDT,Hombre,52,Sí,Sí,2023,8,9,59
2604-IJPDU,Mujer,70,Sí,,2023,6,30,20
9178-JHUVJ,Hombre,58,,Sí,2024,6,28,24
6168-YBYNP,Hombre,55,No,No,2023,10,18,59
7255-SSFBC,Hombre,59,Sí,,2024,3,27,72
3645-DEYGF,Hombre,24,No,Sí,2023,10,22,1
9323-HGFWY,Mujer,73,Sí,No,2023,8,28,27
8544-GOQSH,Mujer,44,No,No,2023,7,5,14
3363-DTIVD,Hombre,65,Sí,Sí,2024,8,5,71
7018-WBJNK,Hombre,69,No,,2024,1,21,13
9142-KZXOP,Hombre,61,No,No,2024,5,27,44
7674-YTAFD,Mujer,42,No,No,2024,3,8,33
6348-SNFUS,Hombre,70,Sí,Sí,2023,4,10,72
1285-OKIPP,Hombre,22,No,,2024,4,29,1
7825-ECJRF,Mujer,45,No,No,2024,8,30,19
1347-KTTTA,Hombre,37,Sí,No,2023,11,29,64
7841-TZDMQ,Hombre,36,No,No,2024,6,20,2
4195-NZGTA,Mujer,64,No,No,2023,1,29,1
7157-SMCFK,Hombre,27,No,Sí,2024,6,24,61
4709-LKHYG,Mujer,42,Sí,Sí,2023,6,12,29
2504-DSHIH,Hombre,75,Sí,No,2024,7,2,23
0699-NDKJM,Mujer,38,Sí,No,2023,7,30,57
9286-BHDQG,Hombre,52,,,2023,2,4,72
0230-WEQUW,Hombre,33,Sí,No,2023,12,9,66
2040-LDIWQ,Hombre,29,Sí,Sí,2024,5,12,65
6496-JDSSB,Mujer,45,No,No,2024,5,31,8
9408-SSNVZ,Mujer,30,No,No,2023,10,8,4
4443-EMBNA,Mujer,57,Sí,No,2024,3,7,71
6469-MRVET,Hombre,53,Sí,Sí,2023,3,8,1
0742-MOABM,Hombre,75,Sí,No,2023,6,25,4
5961-VUSRV,Mujer,51,No,No,2023,12,14,12
6778-JFCMK,Hombre,58,No,No,2024,4,29,24
6341-JVQGF,Mujer,51,Sí,Sí,2023,8,10,31
2232-DMLXU,Mujer,39,Sí,No,2023,5,6,1
4811-JBUVU,Hombre,21,,No,2023,6,10,30
0945-TSONX,Mujer,23,Sí,Sí,2023,3,26,47
2651-ZCBXV,Hombre,57,No,No,2023,10,28,54
3316-UWXUY,Hombre,65,No,No,2024,1,6,50
8937-RDTHP,Hombre,68,No,No,2023,7,1,1
7083-MIOPC,Mujer,27,No,No,2023,9,12,72
1984-GPTEH,Mujer,35,No,No,2024,8,31,29
1251-KRREG,Hombre,52,No,No,2024,5,7,2
0621-JFHOL,Mujer,23,No,No,2023,5,22,10
9903-LYSAB,Hombre,33,Sí,No,2024,2,3,18
0094-OIFMO,Mujer,47,No,No,2023,6,27,11
9227-UAQFT,Hombre,59,No,No,2023,5,4,16
7301-ABVAD,Mujer,47,No,No,2023,6,30,72
6614-FHDBO,Hombre,73,No,No,2024,7,4,72
7576-ASEJU,Mujer,20,Sí,Sí,2023,11,7,41
9058-HRZSV,Mujer,21,Sí,No,2024,8,4,65
4522-AKYLR,Mujer,34,No,No,2023,10,9,13
0221-WMXNQ,Hombre,52,,No,2023,9,9,4
0303-UNCIP,Hombre,75,No,No,2023,11,2,41
9947-OTFQU,Hombre,66,No,No,2024,3,1,15
0322-YINQP,Hombre,55,No,No,2023,4,30,1
0959-WHOKV,Hombre,53,No,No,2023,1,23,42
4075-JFPGR,Mujer,74,Sí,No,2024,1,27,51
4629-NRXKX,Mujer,67,Sí,Sí,2023,4,11,2
9514-JDSKI,Hombre,49,Sí,,2023,7,1,1
3282-ZISZV,Hombre,63,No,Sí,2023,5,29,32
3675-YDUPJ,Hombre,32,No,No,2024,5,2,10
4111-BNXIF,Mujer,62,Sí,,2023,2,9,67
7017-VFHAY,Mujer,58,Sí,Sí,2023,3,2,61
6655-LHBYW,Hombre,71,No,No,2023,2,26,50
4959-JOSRX,Mujer,75,Sí,,2024,2,10,2
5046-NUHWD,Mujer,30,Sí,,2023,2,1,29
7273-TEFQD,Hombre,74,No,No,2023,4,25,3
3606-TWKGI,Hombre,50,No,No,2023,10,24,13
7529-ZDFXI,Hombre,33,Sí,No,2024,4,10,57
7605-BDWDC,Mujer,72,No,No,2023,7,28,31
1950-KSVVJ,Mujer,29,Sí,No,2023,1,30,45
0123-CRBRT,Mujer,74,Sí,Sí,2024,4,29,61
6292-TOSSS,Hombre,42,,No,2023,2,24,50
3197-ARFOY,Mujer,70,No,No,2024,5,9,19
6323-AYBRX,Hombre,55,No,,2024,1,5,59
7014-ZZXAW,Mujer,42,Sí,No,2023,7,30,71
4385-GZQXV,Mujer,75,No,No,2024,8,4,16
7633-MVPUY,Hombre,30,Sí,No,2024,8,5,57
6366-ZGQGL,Hombre,59,No,No,2023,5,25,1
4716-HHKQH,Hombre,39,Sí,No,2024,6,23,20
5940-AHUHD,Hombre,40,No,No,2024,2,20,1
6432-TWQLB,Hombre,60,Sí,No,2023,1,2,5
4484-GLZOU,Mujer,67,Sí,No,2024,1,2,52
8012-SOUDQ,Mujer,32,No,No,2024,2,24,43
3179-GBRWV,Hombre,22,Sí,No,2023,10,6,21
8645-KWHJO,Hombre,56,No,No,2024,3,28,14
4130-MZLCC,Mujer,61,No,No,2023,4,21,5
0314-TKOSI,Mujer,63,,No,2023,1,5,6
8229-MYEJZ,Mujer,29,No,No,2024,2,1,10
2080-SRCDE,Mujer,40,No,Sí,2023,8,7,1
9577-WJVCQ,Mujer,51,No,No,2023,11,4,68
9512-UIBFX,Hombre,68,,Sí,2024,4,1,18
6202-DYYFX,Mujer,36,No,No,2023,9,4,22
3808-HFKDE,Mujer,31,No,No,2023,3,26,20
5583-SXDAG,Hombre,57,Sí,No,2023,9,4,1
3488-PGMQJ,Hombre,64,No,No,2023,2,2,8
3580-REOAC,Hombre,73,No,No,2023,8,23,10
7534-BFESC,Hombre,74,No,No,2023,2,9,24
3727-OWVYD,Hombre,48,No,No,2023,7,22,35
2294-SALNE,Hombre,41,Sí,Sí,2023,8,9,23
4847-TAJYI,Mujer,46,No,No,2023,12,30,6
1563-IWQEX,Mujer,50,,No,2023,3,10,12
8203-XJZRC,Hombre,46,,No,2023,6,7,1
6556-DBKZF,Mujer,60,Sí,Sí,2023,7,23,71
6851-WEFYX,Hombre,22,Sí,No,2023,4,26,35
2985-JUUBZ,Hombre,54,,Sí,2023,2,9,40
6390-DSAZX,Mujer,59,No,Sí,2024,5,26,1
0895-LMRSF,Hombre,22,No,No,2023,4,27,23
8098-LLAZX,Mujer,53,No,No,2023,12,16,4
8266-VBFQL,Hombre,61,No,,2023,4,11,4
8181-YHCMF,Mujer,64,Sí,Sí,2023,2,28,68
2240-HSJQD,Hombre,55,No,Sí,2024,8,31,38
1248-DYXUB,Hombre,69,Sí,Sí,2024,3,1,52
0265-EDXBD,Hombre,27,Sí,No,2024,8,25,32
4115-BNPJY,Hombre,48,Sí,Sí,2023,7,17,29
3167-SNQPL,Hombre,56,Sí,Sí,2024,3,18,38
4091-TVOCN,Hombre,28,No,,2024,4,18,48
1098-TDVUQ,Mujer,37,No,No,2024,8,21,1
7277-OZCGZ,Mujer,74,No,No,2023,9,21,22
1557-EMYVT,Mujer,73,,No,2023,7,6,43
2799-ARNLO,Mujer,73,Sí,No,2023,5,9,5
7563-BIUPC,Hombre,43,No,No,2023,3,18,5
5027-YOCXN,Hombre,20,Sí,Sí,2024,1,16,51
3973-SKMLN,Hombre,59,No,,2023,9,22,71
2321-OMBXY,Mujer,34,Sí,Sí,2024,1,28,38
2840-XANRC,Hombre,21,Sí,No,2024,4,4,24
6745-JEFZB,Hombre,53,Sí,No,2023,6,19,35
5020-ZSTTY,Mujer,34,No,No,2024,1,8,54
9880-TDQAC,Mujer,29,Sí,Sí,2024,6,7,72
8705-WZCYL,Hombre,55,No,No,2023,7,7,1
7102-JJVTX,Mujer,33,,Sí,2023,4,29,9
8626-PTQGE,Hombre,43,No,No,2024,4,29,69
4983-CLMLV,Mujer,25,Sí,No,2024,3,12,52
5701-YVSVF,Mujer,65,Sí,No,2023,9,13,11
5804-LEPIM,Mujer,29,No,No,2024,5,4,2
5697-GOMBF,Mujer,48,Sí,Sí,2023,11,28,28
2739-CACDQ,Mujer,69,No,No,2023,2,23,17
9385-EHGDO,Mujer,28,Sí,Sí,2023,9,3,35
9498-FIMXL,Mujer,40,No,No,2023,12,26,8
2379-GYFLQ,Hombre,30,No,,2024,4,29,46
0122-OAHPZ,Mujer,50,No,No,2024,3,8,7
2868-SNELZ,Mujer,52,No,No,2023,10,4,2
4322-RCYMT,Hombre,34,Sí,Sí,2024,5,28,68
6680-NENYN,Mujer,59,No,No,2023,9,15,43
2088-IEBAU,Mujer,41,No,No,2024,3,20,68
7982-VCELR,Mujer,48,No,No,2024,1,17,36
1343-EHPYB,Hombre,36,Sí,No,2023,6,3,63
6035-BXTTY,Mujer,72,No,No,2023,6,29,32
6885-PKOAM,Mujer,35,Sí,No,2023,4,26,71
7520-HQWJU,Mujer,20,Sí,Sí,2023,10,3,66
9639-BUJXT,Hombre,55,No,No,2023,5,2,63
5924-SNGKP,Mujer,60,,Sí,2023,6,29,41
0021-IKXGC,Mujer,58,No,No,2024,8,28,1
2034-GDRCN,Mujer,26,No,,2024,8,26,2
8966-SNIZF,Mujer,67,Sí,No,2023,4,26,70
6243-OZGFH,Mujer,67,No,No,2023,11,20,23
4654-DLAMQ,Mujer,41,Sí,,2024,3,25,64
0513-RBGPE,Hombre,72,Sí,Sí,2023,5,25,37
5160-UXJED,Hombre,36,No,Sí,2023,3,25,17
4115-NZRKS,Mujer,47,No,No,2023,2,7,7
0219-YTZUE,Hombre,29,Sí,Sí,2023,2,8,4
0623-IIHUG,Mujer,38,No,No,2024,6,10,21
4572-DVCGN,Mujer,21,No,No,2023,1,4,10
3351-NGXYI,Mujer,21,No,No,2024,4,16,16
8984-EYLLL,Hombre,68,Sí,No,2023,11,3,64
9057-MSWCO,Hombre,68,Sí,No,2023,6,23,27
9833-TGFHX,Hombre,53,Sí,Sí,2023,6,25,42
9294-TDIPC,Hombre,47,No,Sí,2023,3,8,5
5229-DTFYB,Mujer,37,No,No,2023,10,25,41
0104-PPXDV,Hombre,45,Sí,No,2023,3,4,58
5176-LMJXE,Mujer,23,No,No,2023,10,24,47
3583-KRKMD,Hombre,23,No,No,2023,9,28,18
1010-DIAUQ,Hombre,69,,No,2023,8,28,5
9069-LGEUL,Hombre,54,Sí,No,2024,3,10,23
7302-ZHMHP,Mujer,42,No,No,2024,6,6,1
9571-EDEBV,Hombre,67,Sí,No,2024,2,26,71
3520-FJGCV,Hombre,71,Sí,Sí,2023,3,17,72
6563-VRERX,Hombre,58,Sí,Sí,2024,8,4,33
0259-GBZSH,Hombre,24,No,No,2024,7,26,2
6122-EFVKN,Hombre,29,No,Sí,2023,1,5,24
2805-EDJPQ,Mujer,41,Sí,Sí,2023,11,17,56
6862-CQUMB,Hombre,62,No,No,2023,5,9,37
7156-MXBJE,Mujer,24,No,No,2023,6,7,43
6158-HDPXZ,Hombre,20,No,No,2023,3,25,1
9601-BRXPO,Mujer,66,,No,2024,4,27,25
2863-IMQDR,Mujer,41,No,No,2023,5,8,61
5686-CMAWK,Hombre,69,No,No,2023,9,5,17
5651-CRHKQ,Mujer,48,,No,2024,6,26,41
6905-NIQIN,Hombre,66,No,No,2024,8,8,1
8204-YJCLA,Hombre,71,Sí,Sí,2023,11,10,72
5167-ZFFMM,Hombre,67,No,No,2023,11,20,1
6583-SZVGP,Hombre,70,No,No,2023,7,30,48
4895-TMWIR,Hombre,36,Sí,,2024,1,28,11
0533-BNWKF,Mujer,25,Sí,No,2023,2,26,55
1708-PBBOA,Mujer,29,No,No,2024,1,23,42
8782-LKFPK,Hombre,70,No,No,2024,7,25,44
5522-JBWMO,Hombre,40,No,Sí,2024,7,21,1
3597-MVHJT,Mujer,44,No,No,2024,7,8,27
9774-NRNAU,Hombre,28,Sí,No,2024,6,28,27
0224-RLWWD,Mujer,68,No,No,2023,9,22,2
9967-ATRFS,Mujer,34,,No,2024,3,18,19
3951-NJCVI,Mujer,49,Sí,No,2023,7,26,42
2977-CEBSX,Mujer,27,No,No,2023,7,2,66
0177-PXBAT,Hombre,45,Sí,No,2024,7,15,33
6599-CEBNN,Mujer,29,No,No,2023,6,21,34
2519-ERQOJ,Hombre,72,No,No,2023,10,21,33
5876-QMYLD,Mujer,23,Sí,Sí,2023,1,20,23
2277-AXSDC,Mujer,37,No,No,2023,6,27,32
9442-JTWDL,Mujer,64,No,No,2023,12,1,11
0979-PHULV,Hombre,34,Sí,Sí,2023,11,27,69
3067-SVMTC,Mujer,46,,No,2023,4,22,68
5495-GPSRW,Hombre,56,No,No,2024,5,9,20
7606-BPHHN,Hombre,53,No,No,2024,1,21,72
4742-DRORA,Hombre,69,Sí,Sí,2023,10,18,60
0111-KLBQG,Hombre,23,Sí,Sí,2023,6,8,32
4800-VHZKI,Mujer,59,No,No,2023,3,10,1
7989-CHGTL,Hombre,51,No,No,2024,4,17,1
0334-GDDSO,Hombre,21,No,No,2023,8,8,3
4163-NCJAK,Mujer,55,Sí,No,2023,2,26,46
5233-AOZUF,Mujer,38,Sí,No,2023,2,28,29
5973-EJGDP,Hombre,54,No,No,2024,4,7,51
1996-DBMUS,Mujer,69,Sí,No,2023,2,20,48
7916-VCCPB,Mujer,66,Sí,Sí,2023,3,8,16
4686-GEFRM,Hombre,20,Sí,No,2023,10,13,70
5249-QYHEX,Mujer,42,Sí,Sí,2023,6,7,40
0578-SKVMF,Mujer,64,Sí,Sí,2024,7,5,22
5564-NEMQO,Mujer,69,No,No,2024,5,22,1
2233-FAGXV,Mujer,56,Sí,Sí,2024,6,12,5
5605-IYGFG,Mujer,66,No,No,2024,6,30,7
7663-ZTEGJ,Hombre,25,No,Sí,2024,5,27,29
3935-TBRZZ,Hombre,44,Sí,Sí,2023,12,20,44
8111-BKVDS,Mujer,42,No,No,2023,8,26,10
2055-SIFSS,Mujer,69,Sí,,2023,3,9,55
2806-MLNTI,Hombre,58,Sí,No,2024,3,9,52
8734-DKSTZ,Mujer,56,Sí,Sí,2023,12,1,10
4360-PNRQB,Hombre,65,No,No,2023,2,2,18
6152-ONASV,Mujer,54,Sí,No,2023,8,29,68
9063-ZGTUY,Mujer,42,,Sí,2023,9,22,61
7781-HVGMK,Mujer,59,Sí,Sí,2024,2,24,72
2181-UAESM,Hombre,59,No,No,2024,8,13,2
2957-LOLHO,Hombre,33,No,No,2024,6,15,12
6048-NJXHX,Hombre,57,Sí,No,2023,3,14,41
2320-SLKMB,Mujer,54,No,No,2023,8,1,26
4980-URKXC,Hombre,42,Sí,No,2023,7,28,36
4376-KFVRS,Hombre,25,Sí,Sí,2023,2,14,72
5886-VLQVU,Hombre,57,Sí,No,2024,4,15,35
3577-AMVUX,Hombre,35,No,No,2023,2,24,1
0771-WLCLA,Mujer,38,Sí,Sí,2024,5,5,16
5628-RKIFK,Mujer,42,No,No,2023,6,27,49
0206-TBWLC,Mujer,22,Sí,No,2023,7,28,54
2937-FTHUR,Mujer,47,No,Sí,2024,8,17,18
1910-FMXJM,Mujer,37,Sí,No,2024,4,3,36
7752-XUSCI,Mujer,44,No,No,2023,4,23,60
4110-PFEUZ,Mujer,54,No,No,2023,1,6,1
0732-OCQOC,Mujer,35,Sí,Sí,2023,5,21,52
5168-MSWXT,Hombre,26,Sí,,2024,3,29,8
1090-ESELR,Hombre,38,Sí,Sí,2024,6,29,72
8592-PLTMQ,Mujer,28,,No,2023,5,30,64
5760-WRAHC,Mujer,26,No,No,2024,4,23,22
8847-GEOOQ,Hombre,21,Sí,No,2024,7,18,60
0256-LTHVJ,Mujer,39,Sí,Sí,2023,12,29,28
