Identificador Usuario,Tipo Suscripción,Ingresos Mensuales,Día Suscripción,Mes Suscripción,Año Suscripción,Día Último Pago,Mes Último Pago,Año Último Pago,País,Edad,Género,Dispositivo,Duración Plan
889,Estándar,12,02,07,23,01,07,24,Reino Unido,45,Femenino,Smartphone,1 Mes
893,Estándar,12,30,07,23,01,07,24,Reino Unido,42,Femenino,Smart TV,6 Meses
894,Premium,14,03,08,23,01,07,24,Brasil,50,Masculino,Smart TV,6 Meses
896,Básica,10,20,08,23,01,07,24,Australia,47,Femenino,Smartphone,1 Mes
898,Estándar,12,30,08,23,02,07,24,EEUU,31,Femenino,Tablet,1 Mes
900,Básica,10,02,09,23,03,07,24,Australia,32,Femenino,Smartphone,1 Mes
902,Premium,14,10,09,23,02,07,24,Australia,28,Masculino,Tablet,6 Meses
904,Estándar,12,27,09,23,03,07,24,Canadá,37,Masculino,Tablet,1 Mes
906,Premium,14,06,10,23,02,07,24,Reino Unido,32,Masculino,Smart TV,6 Meses
908,Básica,10,08,10,23,03,07,24,Canadá,46,Femenino,Smart TV,12 Meses
909,Estándar,12,08,10,23,01,07,24,Reino Unido,30,Masculino,Tablet,1 Mes
910,Premium,14,08,10,23,03,07,24,Reino Unido,40,Femenino,Smart TV,3 Meses
912,Premium,14,08,10,23,02,07,24,Reino Unido,41,Masculino,Tablet,1 Mes
913,Estándar,12,10,10,23,01,07,24,España,32,Masculino,Ordenador,1 Mes
914,Básica,10,19,10,23,02,07,24,Canadá,44,Femenino,Smart TV,1 Mes
916,Premium,14,26,10,23,01,07,24,Australia,50,Femenino,Smartphone,12 Meses
918,Estándar,12,31,10,23,02,07,24,Australia,34,Femenino,Smart TV,1 Mes
920,Básica,10,09,11,23,01,07,24,Francia,34,Femenino,Tablet,1 Mes
921,Premium,14,09,11,23,01,07,24,Australia,27,Femenino,Smart TV,1 Mes
922,Básica,10,07,11,23,01,07,24,Reino Unido,34,Masculino,Tablet,1 Mes
924,Estándar,12,05,11,23,01,07,24,Alemania,37,Femenino,Smart TV,1 Mes
925,Básica,10,25,10,23,01,07,24,España,27,Femenino,Ordenador,1 Mes
926,Premium,14,23,10,23,02,07,24,Canadá,33,Femenino,Ordenador,1 Mes
927,Básica,10,20,10,23,02,07,24,Méjico,42,Masculino,Ordenador,1 Mes
928,Estándar,12,14,10,23,01,07,24,EEUU,49,Masculino,Smartphone,1 Mes
930,Básica,10,18,08,23,01,07,24,EEUU,47,Masculino,Ordenador,3 Meses
931,Premium,14,13,08,23,02,07,24,Australia,33,Masculino,Ordenador,1 Mes
932,Básica,10,11,08,23,02,07,24,Italia,37,Masculino,Smart TV,3 Meses
933,Estándar,12,11,08,23,01,07,24,Australia,35,Masculino,Ordenador,1 Mes
934,Estándar,12,06,08,23,01,07,24,Italia,34,Femenino,Smartphone,1 Mes
935,Básica,10,07,08,23,02,07,24,EEUU,44,Masculino,Smartphone,1 Mes
936,Premium,14,18,07,23,02,07,24,EEUU,29,Masculino,Tablet,6 Meses
938,Estándar,12,15,07,23,02,07,24,Canadá,46,Masculino,Smart TV,1 Mes
939,Premium,14,14,07,23,02,07,24,Australia,29,Masculino,Tablet,1 Mes
940,Básica,10,26,06,23,03,07,24,EEUU,48,Femenino,Smart TV,12 Meses
942,Básica,10,22,06,23,01,07,24,Reino Unido,43,Masculino,Ordenador,1 Mes
943,Estándar,12,23,06,23,01,07,24,Canadá,42,Femenino,Smart TV,12 Meses
944,Estándar,12,24,06,23,02,07,24,EEUU,50,Masculino,Tablet,1 Mes
946,Premium,14,28,06,23,01,07,24,Alemania,43,Femenino,Ordenador,12 Meses
947,Básica,10,29,06,23,02,07,24,Australia,50,Femenino,Tablet,1 Mes
948,Estándar,12,26,06,23,02,07,24,Canadá,51,Masculino,Ordenador,1 Mes
951,Premium,14,18,06,23,03,07,24,Méjico,39,Femenino,Smartphone,12 Meses
952,Básica,10,16,06,23,01,07,24,EEUU,49,Femenino,Tablet,1 Mes
955,Básica,10,20,06,23,02,07,24,Australia,36,Femenino,Ordenador,3 Meses
956,Premium,14,24,06,23,01,07,24,Italia,42,Femenino,Smart TV,1 Mes
957,Básica,10,27,06,23,01,07,24,Reino Unido,50,Masculino,Tablet,12 Meses
958,Estándar,12,02,07,23,01,07,24,EEUU,42,Femenino,Ordenador,1 Mes
959,Premium,14,04,07,23,02,07,24,Francia,35,Femenino,Ordenador,12 Meses
961,Premium,14,23,07,23,01,07,24,Italia,48,Masculino,Ordenador,1 Mes
962,Básica,10,29,07,23,01,07,24,Reino Unido,43,Femenino,Ordenador,6 Meses
963,Estándar,12,01,08,23,01,07,24,Canadá,51,Femenino,Tablet,1 Mes
964,Estándar,12,12,08,23,03,07,24,Alemania,45,Masculino,Smart TV,1 Mes
966,Premium,14,16,08,23,04,07,24,EEUU,42,Femenino,Ordenador,3 Meses
968,Estándar,12,31,08,23,03,07,24,España,50,Masculino,Tablet,12 Meses
970,Básica,10,03,09,23,03,07,24,Francia,44,Femenino,Tablet,1 Mes
971,Básica,10,05,09,23,01,07,24,Canadá,36,Masculino,Tablet,1 Mes
972,Básica,10,10,09,23,02,07,24,Australia,37,Femenino,Ordenador,6 Meses
973,Estándar,12,17,09,23,01,07,24,Reino Unido,36,Masculino,Smartphone,1 Mes
974,Premium,14,28,09,23,03,07,24,Méjico,31,Masculino,Smartphone,6 Meses
976,Básica,10,05,10,23,03,07,24,Canadá,39,Femenino,Ordenador,1 Mes
978,Estándar,12,08,10,23,03,07,24,España,29,Masculino,Smart TV,1 Mes
979,Estándar,12,08,10,23,01,07,24,Alemania,45,Masculino,Smartphone,1 Mes
980,Básica,10,09,10,23,03,07,24,Brasil,29,Masculino,Smart TV,1 Mes
982,Estándar,12,10,10,23,02,07,24,EEUU,42,Femenino,Smart TV,1 Mes
983,Básica,10,14,10,23,01,07,24,Australia,36,Femenino,Smartphone,12 Meses
984,Estándar,12,16,10,23,03,07,24,Australia,39,Masculino,Smart TV,1 Mes
986,Básica,10,25,10,23,01,07,24,España,49,Masculino,Ordenador,3 Meses
987,Premium,14,30,10,23,01,07,24,,32,Femenino,Tablet,6 Meses
988,Estándar,12,31,10,23,02,07,24,Reino Unido,40,Femenino,Smartphone,1 Mes
989,Básica,10,08,11,23,01,07,24,,34,Masculino,Smartphone,1 Mes
990,Estándar,12,09,11,23,01,07,24,EEUU,35,Masculino,Smartphone,12 Meses
991,Premium,14,07,11,23,01,07,24,Australia,44,Femenino,Smart TV,6 Meses
992,Básica,10,08,11,23,03,07,24,Alemania,47,Femenino,Smartphone,1 Mes
993,Estándar,12,08,11,23,03,07,24,Canadá,33,Femenino,Ordenador,6 Meses
994,Premium,14,31,10,23,02,07,24,España,45,Masculino,Tablet,1 Mes
995,Básica,10,28,10,23,01,07,24,Australia,42,Femenino,Tablet,1 Mes
996,Premium,14,25,10,23,02,07,24,Australia,46,Masculino,Tablet,6 Meses
997,Básica,10,18,10,23,02,07,24,Francia,51,Masculino,Tablet,1 Mes
998,Estándar,12,25,09,23,02,07,24,EEUU,41,Femenino,Ordenador,3 Meses
999,Estándar,12,26,08,23,01,07,24,Italia,50,Femenino,Tablet,3 Meses
1000,Básica,10,20,08,23,02,07,24,Australia,49,Femenino,Smartphone,6 Meses
1001,Premium,14,12,08,23,03,07,24,Australia,34,Femenino,Ordenador,3 Meses
1002,Básica,10,12,08,23,03,07,24,Francia,38,Femenino,Tablet,1 Mes
1003,Estándar,12,11,08,23,01,07,24,,46,Masculino,Smart TV,1 Mes
1004,Premium,14,11,08,23,02,07,24,Méjico,42,Masculino,Smart TV,12 Meses
1005,Básica,10,10,08,23,02,07,24,Italia,46,Masculino,Ordenador,1 Mes
1006,Premium,14,31,07,23,03,07,24,EEUU,51,Femenino,Smart TV,1 Mes
1008,Estándar,12,15,07,23,02,07,24,Canadá,34,Femenino,Smartphone,3 Meses
1009,Estándar,12,05,07,23,02,07,24,EEUU,31,Femenino,Ordenador,6 Meses
1010,Básica,10,01,07,23,03,07,24,España,36,Femenino,Tablet,1 Mes
1012,Básica,10,26,06,23,01,07,24,España,29,Femenino,Smartphone,1 Mes
1013,Estándar,12,27,06,23,02,07,24,EEUU,42,Femenino,Smart TV,12 Meses
1014,Premium,14,28,06,23,02,07,24,Reino Unido,35,Femenino,Smartphone,6 Meses
1016,Premium,14,29,06,23,01,07,24,Francia,43,Femenino,Tablet,1 Mes
1017,Básica,10,26,06,23,02,07,24,Reino Unido,29,Masculino,Smartphone,6 Meses
1018,Estándar,12,26,06,23,02,07,24,EEUU,35,Femenino,Tablet,12 Meses
1020,Básica,10,21,06,23,01,07,24,España,38,Masculino,Tablet,1 Mes
1021,Premium,14,22,06,23,03,07,24,Reino Unido,33,Masculino,Smart TV,1 Mes
1022,Básica,10,18,06,23,02,07,24,Canadá,48,Masculino,Ordenador,1 Mes
1023,Estándar,12,18,06,23,02,07,24,Reino Unido,51,Femenino,Ordenador,1 Mes
1024,Premium,14,20,06,23,01,07,24,Méjico,40,Femenino,Smartphone,12 Meses
1025,Básica,10,23,06,23,03,07,24,Canadá,28,Masculino,Smartphone,1 Mes
1026,Premium,14,26,06,23,01,07,24,EEUU,46,Femenino,Ordenador,12 Meses
1027,Básica,10,02,07,23,01,07,24,España,28,Femenino,Tablet,1 Mes
1028,Estándar,12,04,07,23,01,07,24,Alemania,47,Masculino,Tablet,3 Meses
1029,Estándar,12,07,07,23,02,07,24,Canadá,47,Masculino,Smartphone,1 Mes
1030,Básica,10,14,07,23,01,07,24,Canadá,50,Masculino,Smartphone,1 Mes
1031,Premium,14,20,07,23,01,07,24,Francia,50,Femenino,Smart TV,3 Meses
1032,Básica,10,23,07,23,02,07,24,Italia,29,Masculino,Smartphone,3 Meses
1033,Estándar,12,30,07,23,01,07,24,EEUU,38,Masculino,Tablet,1 Mes
1034,Premium,14,12,08,23,03,07,24,Italia,40,Femenino,Tablet,1 Mes
1035,Básica,10,14,08,23,01,07,24,EEUU,43,Masculino,Smartphone,6 Meses
1036,Premium,14,22,08,23,04,07,24,España,27,Femenino,Smartphone,6 Meses
1038,Estándar,12,02,09,23,03,07,24,España,30,Masculino,Smartphone,1 Mes
1039,Estándar,12,03,09,23,01,07,24,España,50,Masculino,Ordenador,1 Mes
1040,Básica,10,04,09,23,04,07,24,Australia,51,Masculino,Smartphone,6 Meses
1041,Premium,14,06,09,23,01,07,24,Italia,37,Femenino,Ordenador,3 Meses
1042,Básica,10,10,09,23,02,07,24,Alemania,35,Femenino,Tablet,3 Meses
1043,Estándar,12,20,09,23,01,07,24,Australia,35,Masculino,Tablet,6 Meses
1044,Premium,14,26,09,23,03,07,24,Alemania,46,Masculino,Tablet,3 Meses
1045,Básica,10,04,10,23,01,07,24,EEUU,27,Masculino,Tablet,6 Meses
1046,Básica,10,06,10,23,03,07,24,España,27,Masculino,Ordenador,1 Mes
1047,Básica,10,07,10,23,01,07,24,Francia,39,Femenino,Ordenador,3 Meses
1048,Estándar,12,08,10,23,03,07,24,Canadá,51,Masculino,Tablet,1 Mes
1049,Premium,14,09,10,23,01,07,24,,41,Masculino,Smartphone,12 Meses
1050,Básica,10,10,10,23,03,07,24,Alemania,30,Femenino,Smart TV,6 Meses
1052,Premium,14,14,10,23,02,07,24,,31,Masculino,Tablet,6 Meses
1053,Estándar,12,15,10,23,01,07,24,Francia,49,Masculino,Smartphone,3 Meses
1054,Estándar,12,17,10,23,03,07,24,EEUU,39,Femenino,Tablet,6 Meses
1055,Básica,10,23,10,23,01,07,24,Brasil,47,Masculino,Smartphone,6 Meses
1056,Premium,14,27,10,23,02,07,24,España,36,Femenino,Tablet,3 Meses
1057,Estándar,12,29,10,23,02,07,24,Francia,42,Femenino,Tablet,1 Mes
1058,Básica,10,05,11,23,02,07,24,Italia,28,Femenino,Smart TV,1 Mes
1059,Estándar,12,07,11,23,02,07,24,Brasil,43,Masculino,Tablet,6 Meses
1060,Premium,14,08,11,23,02,07,24,Reino Unido,50,Femenino,Ordenador,6 Meses
1061,Básica,10,09,11,23,01,07,24,Reino Unido,30,Femenino,Tablet,3 Meses
1062,Premium,14,10,11,23,03,07,24,EEUU,34,Femenino,Ordenador,12 Meses
1063,Estándar,12,02,11,23,03,07,24,Canadá,35,Femenino,Ordenador,12 Meses
1064,Básica,10,31,10,23,02,07,24,Reino Unido,29,Masculino,Tablet,6 Meses
1065,Estándar,12,29,10,23,02,07,24,Francia,33,Masculino,Smart TV,1 Mes
1066,Premium,14,22,10,23,03,07,24,Francia,47,Masculino,Ordenador,6 Meses
1067,Básica,10,20,10,23,02,07,24,EEUU,32,Femenino,Tablet,3 Meses
1068,Estándar,12,21,10,23,04,07,24,,34,Femenino,Tablet,12 Meses
1069,Premium,14,10,10,23,02,07,24,EEUU,46,Masculino,Smart TV,6 Meses
1070,Básica,10,06,09,23,03,07,24,EEUU,31,Masculino,Tablet,3 Meses
1071,Premium,14,06,09,23,03,07,24,Alemania,40,Femenino,Tablet,3 Meses
1072,Básica,10,13,08,23,03,07,24,Canadá,38,Femenino,Tablet,3 Meses
1073,Estándar,12,13,08,23,01,07,24,Reino Unido,31,Masculino,Smart TV,12 Meses
1074,Estándar,12,13,08,23,02,07,24,Méjico,46,Femenino,Smartphone,12 Meses
1075,Básica,10,06,08,23,03,07,24,Reino Unido,43,Masculino,Smart TV,12 Meses
1076,Premium,14,06,08,23,03,07,24,Reino Unido,38,Femenino,Ordenador,12 Meses
1078,Estándar,12,17,07,23,02,07,24,Reino Unido,27,Masculino,Ordenador,3 Meses
1079,Premium,14,09,07,23,02,07,24,EEUU,49,Femenino,Tablet,12 Meses
1080,Básica,10,04,07,23,03,07,24,Australia,33,Masculino,Smartphone,3 Meses
1082,Básica,10,28,06,23,02,07,24,,27,Masculino,Tablet,1 Mes
1083,Estándar,12,28,06,23,02,07,24,Canadá,28,Femenino,Ordenador,1 Mes
1084,Estándar,12,29,06,23,03,07,24,Reino Unido,30,Masculino,Smartphone,3 Meses
1086,Premium,14,26,06,23,01,07,24,Francia,51,Femenino,Tablet,1 Mes
1087,Básica,10,26,06,23,03,07,24,Francia,51,Masculino,Tablet,12 Meses
1088,Estándar,12,26,06,23,02,07,24,Australia,50,Femenino,Smartphone,1 Mes
1090,Básica,10,25,06,23,02,07,24,Méjico,31,Masculino,Smart TV,6 Meses
1091,Premium,14,20,06,23,03,07,24,Australia,46,Femenino,Smartphone,12 Meses
1092,Básica,10,21,06,23,02,07,24,Italia,41,Masculino,Smart TV,1 Mes
1093,Estándar,12,20,06,23,02,07,24,EEUU,36,Masculino,Smartphone,12 Meses
1094,Estándar,12,22,06,23,02,07,24,Reino Unido,45,Femenino,Tablet,1 Mes
1095,Básica,10,24,06,23,03,07,24,Francia,36,Masculino,Smartphone,12 Meses
1096,Premium,14,30,06,23,02,07,24,Reino Unido,28,Masculino,Smartphone,6 Meses
1097,Básica,10,03,07,23,02,07,24,Brasil,45,Femenino,Smartphone,1 Mes
1098,Estándar,12,04,07,23,02,07,24,Australia,39,Femenino,Smartphone,6 Meses
1099,Premium,14,08,07,23,02,07,24,Australia,51,Femenino,Ordenador,3 Meses
1100,Básica,10,19,07,23,01,07,24,Canadá,37,Masculino,Ordenador,1 Mes
1101,Premium,14,21,07,23,01,07,24,Alemania,33,Femenino,Tablet,12 Meses
1102,Básica,10,27,07,23,03,07,24,,32,Femenino,Smartphone,12 Meses
1103,Estándar,12,02,08,23,01,07,24,España,49,Femenino,Tablet,12 Meses
1104,Estándar,12,09,08,23,03,07,24,Alemania,37,Femenino,Smart TV,3 Meses
1105,Básica,10,21,08,23,01,07,24,Canadá,39,Masculino,Tablet,1 Mes
1106,Premium,14,29,08,23,04,07,24,Alemania,37,Masculino,Smart TV,6 Meses
1107,Básica,10,31,08,23,01,07,24,EEUU,36,Femenino,Smart TV,6 Meses
1108,Estándar,12,02,09,23,03,07,24,Italia,34,Masculino,Ordenador,3 Meses
1109,Premium,14,04,09,23,01,07,24,España,51,Femenino,Smartphone,1 Mes
1110,Básica,10,05,09,23,04,07,24,EEUU,41,Femenino,Tablet,6 Meses
1111,Premium,14,10,09,23,01,07,24,,51,Masculino,Smart TV,12 Meses
1112,Básica,10,13,09,23,03,07,24,Italia,31,Femenino,Tablet,1 Mes
1113,Estándar,12,20,09,23,01,07,24,EEUU,44,Masculino,Ordenador,12 Meses
1114,Estándar,12,01,10,23,03,07,24,Reino Unido,50,Masculino,Smart TV,3 Meses
1115,Básica,10,03,10,23,01,07,24,Reino Unido,33,Masculino,Ordenador,6 Meses
1116,Premium,14,06,10,23,04,07,24,EEUU,44,Femenino,Ordenador,12 Meses
1117,Básica,10,08,10,23,01,07,24,Italia,42,Femenino,Tablet,6 Meses
1118,Estándar,12,09,10,23,03,07,24,,35,Masculino,Smart TV,6 Meses
1119,Premium,14,10,10,23,02,07,24,Canadá,48,Masculino,Smartphone,3 Meses
1120,Básica,10,10,10,23,04,07,24,Canadá,51,Femenino,Smartphone,1 Mes
1121,Básica,10,12,10,23,01,07,24,,44,Femenino,Smart TV,6 Meses
1122,Básica,10,14,10,23,02,07,24,Méjico,37,Femenino,Smartphone,3 Meses
1123,Estándar,12,15,10,23,02,07,24,EEUU,35,Femenino,Ordenador,1 Mes
1124,Premium,14,17,10,23,03,07,24,Australia,32,Masculino,Ordenador,1 Mes
1125,Básica,10,19,10,23,02,07,24,Brasil,46,Femenino,Tablet,12 Meses
1126,Básica,10,25,10,23,02,07,24,Alemania,39,Femenino,Ordenador,12 Meses
1127,Premium,14,26,10,23,02,07,24,Canadá,33,Femenino,Tablet,3 Meses
1128,Estándar,12,05,11,23,03,07,24,EEUU,42,Masculino,Tablet,1 Mes
1129,Estándar,12,07,11,23,03,07,24,Canadá,37,Femenino,Smartphone,12 Meses
1130,Básica,10,08,11,23,03,07,24,Alemania,27,Femenino,Smart TV,12 Meses
1131,Premium,14,09,11,23,02,07,24,Reino Unido,34,Femenino,Ordenador,3 Meses
1132,Estándar,12,06,11,23,03,07,24,Reino Unido,51,Masculino,Ordenador,1 Mes
1133,Básica,10,04,11,23,03,07,24,,42,Masculino,Ordenador,1 Mes
1134,Estándar,12,03,11,23,05,07,24,Australia,46,Femenino,Smart TV,1 Mes
1135,Premium,14,23,10,23,02,07,24,EEUU,36,Masculino,Ordenador,1 Mes
1136,Básica,10,24,10,23,04,07,24,EEUU,46,Masculino,Smartphone,3 Meses
1137,Premium,14,23,10,23,04,07,24,Méjico,51,Masculino,Smart TV,3 Meses
1138,Estándar,12,21,10,23,04,07,24,España,45,Femenino,Smartphone,1 Mes
1139,Básica,10,11,09,23,02,07,24,Italia,33,Masculino,Smartphone,1 Mes
1140,Estándar,12,09,09,23,03,07,24,Australia,31,Femenino,Smart TV,1 Mes
1141,Premium,14,22,08,23,03,07,24,Italia,48,Femenino,Smart TV,1 Mes
1142,Básica,10,21,08,23,04,07,24,España,47,Femenino,Ordenador,12 Meses
1143,Estándar,12,15,08,23,01,07,24,Alemania,43,Masculino,Smart TV,1 Mes
1144,Premium,14,14,08,23,03,07,24,Alemania,39,Masculino,Tablet,1 Mes
1145,Básica,10,09,08,23,03,07,24,España,46,Masculino,Smart TV,3 Meses
1146,Premium,14,04,08,23,04,07,24,España,46,Femenino,Smartphone,3 Meses
1147,Básica,10,27,07,23,01,07,24,Francia,40,Femenino,Tablet,12 Meses
1148,Estándar,12,11,07,23,02,07,24,Brasil,38,Masculino,Smartphone,3 Meses
1149,Estándar,12,09,07,23,03,07,24,España,48,Femenino,Tablet,12 Meses
1150,Básica,10,01,07,23,03,07,24,Italia,38,Masculino,Tablet,1 Mes
1151,Premium,14,30,06,23,01,07,24,Reino Unido,43,Masculino,Ordenador,12 Meses
1152,Básica,10,29,06,23,02,07,24,Alemania,29,Masculino,Smartphone,6 Meses
1153,Estándar,12,29,06,23,03,07,24,Canadá,32,Femenino,Ordenador,3 Meses
1154,Premium,14,30,06,23,03,07,24,,32,Femenino,Ordenador,6 Meses
1156,Premium,14,26,06,23,02,07,24,Francia,51,Femenino,Ordenador,12 Meses
1157,Básica,10,27,06,23,03,07,24,Italia,32,Masculino,Smart TV,1 Mes
1158,Estándar,12,25,06,23,02,07,24,Canadá,35,Femenino,Smart TV,1 Mes
1159,Estándar,12,25,06,23,01,07,24,Australia,41,Masculino,Ordenador,1 Mes
1160,Básica,10,20,06,23,03,07,24,EEUU,43,Femenino,Smart TV,3 Meses
1161,Premium,14,21,07,24,03,07,24,Canadá,41,Masculino,Smartphone,1 Mes
1162,Básica,10,21,06,23,02,07,24,Reino Unido,51,Masculino,Smart TV,1 Mes
1163,Estándar,12,22,06,23,03,07,24,EEUU,47,Femenino,Smart TV,1 Mes
1164,Premium,14,23,06,23,02,07,24,Canadá,39,Masculino,Smart TV,6 Meses
1165,Básica,10,27,06,23,03,07,24,EEUU,51,Masculino,Smartphone,1 Mes
1166,Premium,14,02,07,23,02,07,24,Canadá,39,Femenino,Tablet,1 Mes
1167,Básica,10,03,07,23,02,07,24,Reino Unido,45,Masculino,Tablet,1 Mes
1168,Estándar,12,05,07,24,02,07,24,Italia,42,Masculino,Ordenador,1 Mes
1169,Estándar,12,15,07,23,02,07,24,Alemania,48,Masculino,Smartphone,1 Mes
1170,Básica,10,20,07,23,02,07,24,Francia,33,Masculino,Smart TV,1 Mes
1171,Premium,14,27,07,23,02,07,24,Brasil,47,Femenino,Smartphone,12 Meses
1172,Básica,10,29,07,23,04,07,24,Brasil,51,Femenino,Smart TV,3 Meses
1173,Estándar,12,03,08,23,01,07,24,Canadá,27,Masculino,Smartphone,6 Meses
1174,Premium,14,18,08,23,04,07,24,Francia,44,Femenino,Ordenador,3 Meses
1175,Básica,10,23,08,23,02,07,24,Reino Unido,41,Masculino,Ordenador,6 Meses
1176,Premium,14,27,08,23,05,07,24,EEUU,37,Masculino,Smart TV,1 Mes
1177,Básica,10,01,09,23,02,07,24,Reino Unido,48,Masculino,Tablet,6 Meses
1178,Estándar,12,03,09,23,04,07,24,Reino Unido,30,Masculino,Smart TV,6 Meses
